date,sentiment_mean,sentiment_volatility,tweet_volume,StringencyIndex_Average,daily_new_cases,daily_new_deaths,C1_School_closing,C2_Workplace_closing,C4_Restrictions_gatherings,C6_Stay_at_home,C7_Internal_movement,C8_International_travel,H6_Facial_coverings
2021-01-07,0.0045585498330017946,0.004699249247874404,-721568.0,0.0,2441.3333333334886,33.83333333332848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.010783642880460104,0.00455346234782511,174846.0,0.0,5766.833333333023,31.666666666671517,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335
2021-01-09,0.0,0.0,0.0,-0.4616666666666731,-8803.833333333954,-173.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666696,0.0
2021-01-10,-0.0001325641185850046,-0.0015029285715240093,-432997.0,0.0,-9503.333333332092,-167.33333333332848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,4.187764642590158e-05,0.0009585880043671002,614004.0,-2.6233333333333206,-2526.833333333954,-26.666666666671517,0.0,-0.33333333333333304,0.0,-0.3333333333333335,0.0,0.0,-0.3333333333333335
2021-01-12,-0.008646492767173497,0.0086182293143921,355309.0,0.0,2464.833333333023,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,-0.0181102885829941,0.016776161563863412,-656662.0,0.0,1504.666666666977,-56.83333333332837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,0.01562520687583,-0.015109348967873415,758023.0,0.0,1285.166666666977,-37.500000000014666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,0.0059598398271312955,-0.006489666884946399,-205167.0,0.0,2665.333333333023,11.000000000014552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,0.013589784237964295,-0.009982570404832192,-59488.0,0.0,-7195.166666666977,-36.66666666667152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,-0.01680078638115489,0.005143419123301907,-584692.0,0.0,-7462.333333333023,-268.8333333333285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0275933530977489,0.03183018551443301,334959.0,0.0,-5936.833333333023,-68.66666666667152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,-0.017389405898362104,-0.031612251370505606,109953.0,0.0,1783.9999999990687,162.83333333332848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,0.0064139123230930045,-0.004297799124677926,-644023.0,0.0,6201.000000000931,323.6666666666715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,-0.0015221022726544103,-0.005936505836064254,719241.0,0.0,579.0,-72.16666666667163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,0.0039241329922327095,0.010425635680674894,-138861.0,0.0,211.99999999906868,-45.66666666665685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-23,0.0014927719223259,-0.006642298111433409,-113617.0,0.0,-3755.9999999990687,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,-0.00041710534080550976,-0.0058806569285759225,114335.0,0.0,-6997.666666666977,-297.33333333334303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,-0.00563467816068039,0.007543956250605333,-316520.0,0.0,-2705.166666666977,-7.166666666656965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-26,-0.010298213025941506,0.0076858325897346536,581099.0,0.4616666666666589,2965.166666666977,373.3333333333285,0.0,0.0,0.0,0.0,0.0,0.16666666666666696,0.0
2021-01-27,0.002952794675189205,-0.011247560228708098,-195171.0,0.0,1597.0,2.1666666666569654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
