date,sentiment_mean,sentiment_volatility,tweet_volume,source_file
2020-10-01,0.04988695747485265,0.26109999367120923,3149122,corona_tweets_197.csv
2021-08-21,0.03873883899070321,0.2627184458209646,3337045,corona_tweets_521.csv
2020-08-14,0.06832686244890843,0.25825751769513405,3683305,corona_tweets_149.csv
2020-08-31,0.06963505830495452,0.2709851031537848,3725303,corona_tweets_166.csv
2022-05-19,0.06041894192532577,0.25382357188083315,971846,corona_tweets_792.csv
2022-02-01,0.04833006799614784,0.2559533056577465,2010791,corona_tweets_685.csv
2022-07-27,0.03856837849848537,0.24899885417531048,826308,corona_tweets_861.csv
2021-04-23,0.06133180792029829,0.260465111518289,3374543,corona_tweets_401.csv
2021-08-30,0.05349955146565687,0.25650580695473246,2656139,corona_tweets_530.csv
2021-07-24,0.045612314431724595,0.2659350334394447,2767396,corona_tweets_493.csv
2020-12-12,0.06889102803102048,0.267264044220644,2590126,corona_tweets_269.csv
2022-06-29,0.048688784708552216,0.2777234244675456,911901,corona_tweets_833.csv
2020-08-09,0.04816057404221617,0.2559461444087631,3822854,corona_tweets_144.csv
2021-01-18,0.07645190632422426,0.2965459613959041,3099138,corona_tweets_306.csv
2020-08-29,0.052621476494374396,0.24892642152866504,3282065,corona_tweets_164.csv
2022-02-07,0.05885159010540731,0.263068634134263,1652990,corona_tweets_691.csv
2021-09-21,0.060662943685125675,0.2648253348170339,2241524,corona_tweets_552.csv
2022-06-08,0.05177558716777851,0.2683854111005759,750329,corona_tweets_812.csv
2021-10-28,0.05524844053230066,0.24529343581245092,1584846,corona_tweets_589.csv
2020-03-30,0.06609912180742197,0.2773595176933755,792417,corona_tweets_12.csv
2021-05-13,0.06189900399414318,0.25675646805377617,3454177,corona_tweets_421.csv
2021-03-29,0.06711126282347778,0.2514318592506759,2914413,corona_tweets_376.csv
2021-06-23,0.05841753043663264,0.2634675404365554,1899583,corona_tweets_462.csv
2021-08-12,0.03758662871321432,0.2707916146866174,3385156,corona_tweets_512.csv
2021-08-13,0.0427460918971134,0.26211966133868664,3053259,corona_tweets_513.csv
2020-12-25,0.05375494836022809,0.26480036807499363,1767511,corona_tweets_282.csv
2020-10-15,0.04735708163991844,0.25910264782940573,3288065,corona_tweets_211.csv
2020-04-16,0.04243316238217016,0.2685027943407473,433368,corona_tweets_29.csv
2020-12-26,0.05236081156048764,0.26755577461364755,2466204,corona_tweets_283.csv
2022-03-28,0.07048991393297545,0.2568478582557482,947812,corona_tweets_740.csv
2022-09-18,0.044268733552191804,0.25148965975317156,579756,corona_tweets_914.csv
2022-03-21,0.050633915486057446,0.25929313323891673,937907,corona_tweets_733.csv
2022-10-10,0.056111475078698465,0.23997870306311078,589761,corona_tweets_936.csv
2020-05-13,0.05609387787401028,0.25806430765809324,2339709,corona_tweets_56.csv
2020-07-24,0.04860312624705302,0.25420335578558484,3621819,corona_tweets_128.csv
2020-09-01,0.05848662068752709,0.24701795296496537,3665464,corona_tweets_167.csv
2022-08-13,0.05027379162600492,0.2685494515574246,611197,corona_tweets_878.csv
2020-10-06,0.04194538341735821,0.26450628773666773,4250382,corona_tweets_202.csv
2022-07-03,0.04410316849679055,0.28113769812080275,710717,corona_tweets_837.csv
2022-01-27,0.05957356964905404,0.26388238834459565,2248885,corona_tweets_680.csv
2021-10-05,0.05458651824616362,0.2516526714176736,2148267,corona_tweets_566.csv
2021-04-11,0.06412708131221741,0.27403750353651446,2409810,corona_tweets_389.csv
2021-04-16,0.07202945834182875,0.2641311172757894,2846397,corona_tweets_394.csv
2020-10-02,0.07136763758871799,0.2681680542644349,4312864,corona_tweets_198.csv
2021-05-19,0.05893345012952771,0.26517985083196294,2682664,corona_tweets_427.csv
2021-06-16,0.060532373830152864,0.2561574441219686,1911098,corona_tweets_455.csv
2021-01-26,0.0530212188634319,0.2678318745456619,3410745,corona_tweets_314.csv
2020-05-06,0.05517240186842841,0.26995017957678,2164251,corona_tweets_49.csv
2022-04-02,0.05323121822560117,0.29687128383097117,893457,corona_tweets_745.csv
2022-04-19,0.03964495194482383,0.26471466743679406,1387917,corona_tweets_762.csv
2020-03-27,0.04515450262916614,0.26787317969596003,1172013,corona_tweets_10.csv
2021-01-22,0.0678784434685334,0.2651250407453312,3145448,corona_tweets_310.csv
2020-11-03,0.0779232806918525,0.26981564476180553,2601575,corona_tweets_230.csv
2022-06-19,0.06535343689256577,0.262348642916254,644363,corona_tweets_823.csv
